Timestamp [ms],PL_id,PD_id,CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
2013-08-01 06:02:56,PL_1,PD_1,2,5851.9989,747.1051928999997,12.766666666666667,8388608.0,1308620.0,0.0,1.0,11.0,27.2
2013-08-01 06:07:56,PL_1,PD_1,2,5851.9989,672.9798734999998,11.5,8388608.0,1157626.4,0.0,1.0,13.466666666666667,30.66666666666667
2013-08-01 06:12:56,PL_1,PD_1,2,5851.9989,743.2038603,12.7,8388608.0,1157625.6,0.0,1.0,13.4,33.46666666666667
2013-08-01 06:17:56,PL_1,PD_1,2,5851.9989,758.8091906999997,12.966666666666667,8388608.0,1073740.8,0.0,1.0,11.866666666666667,27.66666666666667
2013-08-01 06:22:56,PL_1,PD_1,2,5851.9989,661.2758757,11.3,8388608.0,973076.0,0.0,0.9333333333333332,13.333333333333336,31.93333333333333
2013-08-01 06:27:56,PL_1,PD_1,2,5851.9989,764.6611896000003,13.066666666666668,8388608.0,1224735.2,0.0,2.466666666666667,13.066666666666665,32.0
2013-08-01 06:32:56,PL_1,PD_1,2,5851.9989,743.2038603,12.7,8388608.0,939521.6,0.06666666666666668,1.3333333333333333,11.8,27.66666666666667
2013-08-01 06:37:56,PL_1,PD_1,2,5851.9989,653.4732105,11.166666666666668,8388608.0,738196.0,0.0,0.9333333333333332,13.666666666666664,33.8
2013-08-01 06:42:56,PL_1,PD_1,2,5851.9989,752.9571917999997,12.866666666666667,8388608.0,754973.6,0.0,0.9333333333333332,12.533333333333333,30.13333333333333
2013-08-01 06:47:56,PL_1,PD_1,2,5851.9989,698.3385353999997,11.933333333333332,8388608.0,732603.4666666667,0.0,1.2,11.933333333333335,27.73333333333333
2013-08-01 06:52:56,PL_1,PD_1,2,5851.9989,680.7825386999998,11.633333333333333,8388608.0,727010.6666666665,0.06666666666666668,3.066666666666667,14.533333333333333,35.666666666666664
2013-08-01 06:57:56,PL_1,PD_1,2,5851.9989,760.7598569999999,13.0,8388608.0,771749.6,0.0,2.5,11.8,28.266666666666666
2013-08-01 07:02:56,PL_1,PD_1,2,5851.9989,649.5718779,11.1,8388608.0,805304.0,0.0,1.0666666666666669,11.666666666666664,27.6
2013-08-01 07:07:56,PL_1,PD_1,2,5851.9989,643.7198789999999,11.0,8388608.0,710233.0666666669,0.0,0.8666666666666667,10.666666666666666,27.0
2013-08-01 07:12:56,PL_1,PD_1,2,5851.9989,669.0785408999999,11.433333333333332,8388608.0,933929.3333333336,0.0,0.9333333333333332,10.733333333333333,27.066666666666666
2013-08-01 07:17:56,PL_1,PD_1,2,5851.9989,710.0425331999999,12.133333333333333,8388608.0,788526.9333333331,0.0,1.0,14.866666666666667,36.46666666666667
2013-08-01 07:22:56,PL_1,PD_1,2,5851.9989,743.2038603,12.7,8388608.0,838859.2,0.0,1.4666666666666666,10.733333333333333,27.13333333333333
2013-08-01 07:27:56,PL_1,PD_1,2,5851.9989,669.0785408999999,11.433333333333332,8388608.0,889191.2,0.0,0.9333333333333332,12.533333333333333,28.73333333333333
2013-08-01 07:32:56,PL_1,PD_1,2,5851.9989,725.6478635999997,12.4,8388608.0,827674.1333333333,0.0,1.0,13.0,34.86666666666667
2013-08-01 07:37:56,PL_1,PD_1,2,5851.9989,743.2038603,12.7,8388608.0,721418.4,0.0,1.0666666666666669,10.733333333333333,27.066666666666666
2013-08-01 07:42:56,PL_1,PD_1,2,5851.9989,657.3745430999999,11.233333333333333,8388608.0,732602.9333333331,0.0,0.9333333333333332,12.933333333333335,30.066666666666666
2013-08-01 07:47:56,PL_1,PD_1,2,5851.9989,739.3025276999997,12.633333333333333,8388608.0,598385.6,0.0,1.0,12.6,33.46666666666667
2013-08-01 07:52:56,PL_1,PD_1,2,5851.9989,756.8585243999999,12.933333333333332,8388608.0,771749.8666666667,0.0,1.0666666666666669,10.666666666666666,27.066666666666666
2013-08-01 07:57:56,PL_1,PD_1,2,5851.9989,655.4238767999999,11.2,8388608.0,861228.8,0.0,0.9333333333333332,13.333333333333336,32.46666666666667
2013-08-01 08:02:56,PL_1,PD_1,2,5851.9989,745.1545265999997,12.733333333333333,8388608.0,777342.9333333331,0.0,1.6666666666666667,12.733333333333333,31.33333333333333
2013-08-01 08:07:56,PL_1,PD_1,2,5851.9989,710.0425331999999,12.133333333333333,8388608.0,654309.6,0.0,1.2,11.266666666666667,27.33333333333333
2013-08-01 08:12:57,PL_1,PD_1,2,5851.9989,655.4238767999999,11.2,8388608.0,721418.9333333331,0.0,1.0,13.666666666666664,31.8
2013-08-01 08:17:57,PL_1,PD_1,2,5851.9989,739.3025276999997,12.633333333333333,8388608.0,631940.2666666667,0.0,1.4,13.066666666666665,32.333333333333336
2013-08-01 08:22:57,PL_1,PD_1,2,5851.9989,721.7465309999997,12.333333333333332,8388608.0,671086.9333333332,0.0,1.0666666666666669,11.933333333333335,27.73333333333333
2013-08-01 08:27:57,PL_1,PD_1,2,5851.9989,680.7825386999998,11.633333333333333,8388608.0,1062554.666666667,0.0,1.7333333333333334,13.8,34.2
2013-08-01 08:32:57,PL_1,PD_1,2,5851.9989,711.9931995000003,12.166666666666668,8388608.0,743787.7333333333,0.0,1.8666666666666667,12.533333333333333,29.86666666666667
2013-08-01 08:37:57,PL_1,PD_1,2,5851.9989,739.3025276999997,12.633333333333333,8388608.0,676679.2,0.0,1.0,11.866666666666667,27.73333333333333
2013-08-01 08:42:57,PL_1,PD_1,2,5851.9989,663.2265419999999,11.333333333333332,8388608.0,933930.4,0.0,1.0,13.466666666666667,33.0
2013-08-01 08:47:57,PL_1,PD_1,2,5851.9989,725.6478635999997,12.4,8388608.0,699049.3333333335,0.0,1.0,12.733333333333333,30.86666666666667
2013-08-01 08:52:57,PL_1,PD_1,2,5851.9989,727.5985298999999,12.433333333333332,8388608.0,738195.2,0.0,1.0,11.8,27.6
2013-08-01 08:57:57,PL_1,PD_1,2,5851.9989,661.2758757,11.3,8388608.0,889190.1333333333,0.0,1.0,13.8,34.266666666666666
2013-08-01 09:02:57,PL_1,PD_1,2,5851.9989,715.8945320999999,12.233333333333333,8388608.0,1129663.2,0.0,0.9333333333333332,12.266666666666667,29.6
2013-08-01 09:07:57,PL_1,PD_1,2,5851.9989,700.2892016999997,11.966666666666667,8388608.0,939521.6,0.0,1.0,11.733333333333333,27.6
2013-08-01 09:12:57,PL_1,PD_1,2,5851.9989,674.9305397999998,11.533333333333333,8388608.0,766157.0666666669,0.0,1.0,13.066666666666665,30.86666666666667
2013-08-01 09:17:57,PL_1,PD_1,2,5851.9989,715.8945320999999,12.233333333333333,8388608.0,822082.4,0.0,1.0,13.8,33.06666666666667
2013-08-01 09:22:57,PL_1,PD_1,2,5851.9989,704.1905343,12.033333333333333,8388608.0,939521.6,0.0,0.9333333333333332,11.4,27.6
2013-08-01 09:27:57,PL_1,PD_1,2,5851.9989,696.3878691000001,11.9,8388608.0,838858.4,0.0,0.9333333333333332,11.266666666666667,27.266666666666666
2013-08-01 09:32:57,PL_1,PD_1,2,5851.9989,667.1278745999998,11.4,8388608.0,732603.2,0.0,1.1333333333333333,14.4,34.4
2013-08-01 09:37:57,PL_1,PD_1,2,5851.9989,749.0558592,12.8,8388608.0,671087.2,0.0,1.0,12.466666666666667,29.8
2013-08-01 09:42:57,PL_1,PD_1,2,5851.9989,700.2892016999997,11.966666666666667,8388608.0,676679.4666666667,0.0,0.9333333333333332,11.266666666666667,27.33333333333333
2013-08-01 09:47:57,PL_1,PD_1,2,5851.9989,663.2265419999999,11.333333333333332,8388608.0,626347.7333333333,0.0,1.0,14.466666666666667,34.666666666666664
2013-08-01 09:52:57,PL_1,PD_1,2,5851.9989,752.9571917999997,12.866666666666667,8388608.0,704641.8666666667,0.0,1.2666666666666666,12.466666666666667,29.6
2013-08-01 09:57:57,PL_1,PD_1,2,5851.9989,698.3385353999997,11.933333333333332,8388608.0,704641.6,0.0,1.4666666666666666,11.4,27.33333333333333
2013-08-01 10:02:57,PL_1,PD_1,2,5851.9989,676.8812061000001,11.566666666666668,8388608.0,777342.9333333331,0.0,0.8666666666666667,14.866666666666667,35.666666666666664
2013-08-01 10:07:57,PL_1,PD_1,2,5851.9989,751.0065254999997,12.833333333333332,8388608.0,816488.8,0.0,1.933333333333333,11.933333333333335,28.8
2013-08-01 10:12:57,PL_1,PD_1,2,5851.9989,694.4372027999997,11.866666666666667,8388608.0,822081.8666666667,0.0,0.9333333333333332,11.733333333333333,27.6
2013-08-01 10:17:57,PL_1,PD_1,2,5851.9989,708.0918668999999,12.1,8388608.0,665494.4,0.0,1.0,15.066666666666665,36.53333333333333
2013-08-01 10:22:57,PL_1,PD_1,2,5851.9989,731.4998625000003,12.5,8388608.0,620755.7333333333,0.0,1.0,11.2,27.266666666666666
2013-08-01 10:27:57,PL_1,PD_1,2,5851.9989,678.8318724,11.6,8388608.0,950708.0,0.0,1.0,13.066666666666665,28.86666666666667
2013-08-01 10:32:57,PL_1,PD_1,2,5851.9989,721.7465309999997,12.333333333333332,8388608.0,743788.5333333333,0.0,1.0,13.6,35.266666666666666
2013-08-01 10:37:57,PL_1,PD_1,2,5851.9989,723.6971973,12.366666666666667,8388608.0,721417.8666666667,0.0,1.0666666666666669,11.266666666666667,27.266666666666666
2013-08-01 10:42:57,PL_1,PD_1,2,5851.9989,674.9305397999998,11.533333333333333,8388608.0,743787.7333333333,0.0,1.0,13.666666666666664,30.73333333333333
2013-08-01 10:47:57,PL_1,PD_1,2,5851.9989,735.4011951,12.566666666666668,8388608.0,844451.4666666667,0.0,1.0,13.266666666666667,33.266666666666666
2013-08-01 10:52:58,PL_1,PD_1,2,5851.9989,725.6478635999997,12.4,8388608.0,1012224.0,0.0,1.0666666666666669,11.333333333333336,27.4
2013-08-01 10:57:58,PL_1,PD_1,2,5851.9989,678.8318724,11.6,8388608.0,643125.6,0.0,1.0,13.933333333333335,32.4
2013-08-01 11:02:58,PL_1,PD_1,2,5851.9989,739.3025276999997,12.633333333333333,8388608.0,754973.0666666669,0.0,1.4666666666666666,12.866666666666667,31.73333333333333
2013-08-01 11:07:58,PL_1,PD_1,2,5851.9989,725.6478635999997,12.4,8388608.0,900375.4666666667,0.0,1.0,11.133333333333333,27.33333333333333
2013-08-01 11:12:58,PL_1,PD_1,2,5851.9989,661.2758757,11.3,8388608.0,878005.3333333335,0.0,1.0,14.333333333333336,33.93333333333333
2013-08-01 11:17:58,PL_1,PD_1,2,5851.9989,751.0065254999997,12.833333333333332,8388608.0,805303.7333333333,0.0,1.0,12.666666666666664,30.13333333333333
2013-08-01 11:22:58,PL_1,PD_1,2,5851.9989,708.0918668999999,12.1,8388608.0,872414.1333333333,0.0,0.9333333333333332,11.8,27.66666666666667
2013-08-01 11:27:58,PL_1,PD_1,2,5851.9989,672.9798734999998,11.5,8388608.0,838859.4666666667,0.0,0.9333333333333332,13.933333333333335,35.0
